work_id,work_label,work_wikidata,director_id,director_label,director_wikidata
302384,Love And Other Catastrophes,Q6691661,5294701,Emmakate Croghan,Q5372704
6479,The Hero Of The Dardanelles,Q7739495,1024401,Alfred Rolfe,Q4723361
736046,All My Friends Are Leaving Brisbane,Q4729104,10833101,Louise Alston,Q6688609
573982,Take Away,Q7677566,8504901,Marc Gracie,Q6755588
52573,The Year Of Living Dangerously,Q505148,1263401,Peter Weir,Q55424
21138,Children Of The Moon,,1263601,Bob Weis,
8892,The Clinic,Q7723409,1139701,David Stevens,Q5240080
33529,High Rolling,Q5756374,57901,Igor Auzins,Q5993122
283713,Turning April,Q97332807,99601,Geoff Bennett,Q117860898
717047,Sensitive New Age Killer,Q7451053,12093401,Mark Savage,Q6769600
1270,Jedda,,218001,Charles Chauvel,
33511,Tail Of A Tiger,Q7676075,303101,Rolf De Heer,Q1374169
336502,Children Of The Revolution,Q1977021,6528101,Peter Duncan,Q16195520
277684,Silver City,Q7515902,2551801,Sophia Turkiewicz,Q9339626
22618,The Hangman,,1913201,Peter Falk,
46700,Boulevard Of Broken Dreams,Q4949681,35701,Pino Amenta,Q7196373
1109055,Melbourne '89,,2719401,Bill Mousoulis,
396343,Encounters,Q5375590,6090101,Murray Fahey,Q6939225
8211,The Earthling,Q1617093,245401,Peter Collinson,Q976248
231540,Exchange Lifeguards,Q4081065,857901,Maurice Murphy,Q6793366
44860,Winter Of Our Dreams,Q8026400,336901,John Duigan,Q358804
44925,Duet For Four,Q5312255,171301,Tim Burstall,Q7803256
333560,Without Warning,,2497301,Catherine Millar,
233449,Death In Brunswick,Q4424397,1033201,John Ruane,Q6255888
481007,Richard III,,7533001,Johnny Charisma,
248672,Weekend With Kate,Q7979467,880801,Arch Nicholson,Q4785317
672924,Stranded,Q747818,4761401,Stuart Mcdonald,Q56436167
33877,The Killing Of Angel Street,Q7744384,271201,Donald Crombie,Q5294199
7578,Mystery Island,Q6948844,4021801,Jonas Alfred Lipman,Q6103892
754339,Dying Breed,Q115394,10354201,Jody Dwyer,Q113119050
268173,Stir,Q7617526,1244001,Stephen Wallace,Q7610796
654984,Hating Alison Ashley,Q3285042,99601,Geoff Bennett,Q117860898
7003,Trooper O'Brien,Q7845565,1616501,John F Gavin,Q6234993
441461,Little Boy Lost,Q3256662,132801,Terry Bourke,Q7704133
272855,Crocodile Dundee,Q615254,3838201,Peter Faiman,Q7173921
315244,Bloodmoon,Q4241471,11522201,Alec Mills,Q958911
1069360,Ned Kelly,Q391542,5332301,Gregor Jordan,Q1393077
43288,Fran,Q8565317,502701,Glenda Hambly,Q106376673
141624,Strictly Ballroom,Q1346439,3732401,Baz Luhrmann,Q250545
7595,That Certain Something,Q7711150,1602601,Clarence G Badger,Q2975559
